90  467.587 0.983434 134.84 -0.00240766  467.877 0.957411 130.725 0.0190155  467.913 0.976436 122.759 -0.0890015  468.02 0.953072 123.711 -0.575157  
91  467.871 0.976438 132.602 -0.172908  467.236 0.960118 137.492 1.96475  467.75 0.959563 137.595 -0.44982  467.901 0.95391 128.725 -0.307391  
92  467.519 0.991044 154.631 -0.246192  467.846 0.974568 126.866 -0.249178  467.82 0.985851 130.306 -0.133759  467.446 0.959917 134.241 1.38181  
93  467.871 0.986632 126.6 -0.275118  467.968 0.971764 134.172 -0.601017  468.085 0.976816 116.65 -0.453851  467.523 0.963563 184.606 0.345216  
94  467.661 0.985162 131.569 0.015034  467.404 0.982362 129.498 0.758091  468.159 0.971042 129.983 0.418922  467.971 0.952554 135.001 -0.531097  
95  467.651 0.947874 157.79 0.472972  467.428 0.943523 195.305 0.544634  467.456 0.94218 172.486 0.0313558  467.898 0.926343 123.229 -0.257234  
96  467.74 0.985759 124.526 -0.274203  467.414 0.943315 167.935 0.578123  467.878 0.974032 126.9 -0.0511629  467.333 0.932873 136.341 0.806638  
97  467.728 0.98012 129.926 -0.320009  468.015 0.956982 118.634 -0.0767074  468.251 0.971082 129.239 0.317807  467.717 0.934223 126.241 0.0968358  
98  467.446 0.981142 141.823 -0.265268  467.614 0.947979 171.981 -0.0417897  467.979 0.9699 136.063 0.741361  467.218 0.943792 177.718 0.967252  
99  467.737 0.984861 139.078 0.0380721  467.73 0.94933 154.079 -0.598403  468.083 0.971875 125.034 0.0600828  467.537 0.930714 130.152 0.451667  
100  467.663 0.981619 129.956 -0.0975653  467.685 0.949169 157.634 -0.374596  467.568 0.968129 164.839 0.612418  467.352 0.943249 171.422 0.701817  
101  467.794 0.967242 169.436 0.0521828  467.687 0.946733 176.975 -0.00294567  468.128 0.950343 141.838 0.312338  467.71 0.928913 125.263 0.192288  
102  467.729 0.974594 131.585 0.0577913  467.543 0.944158 180.635 0.316644  467.091 0.961657 177.31 -0.0976875  467.865 0.937807 127.711 0.158052  
103  467.864 0.979109 127.203 -0.373854  468.239 0.950814 135.897 -1.38378  467.895 0.97807 122.063 -0.328949  467.573 0.944253 179.725 0.206234  
104  467.725 0.965444 173.818 0.101587  467.465 0.963651 177.902 0.51707  468.12 0.978113 115.843 -0.883298  467.796 0.938448 129.733 0.415821  
105  467.905 0.969963 151.034 0.351224  467.407 0.96019 140.581 1.1959  467.764 0.967137 170.709 0.115645  467.431 0.944169 181.936 0.539842  
106  467.37 0.962715 173.721 -0.0165794  467.609 0.939184 131.951 0.837989  467.891 0.955628 129.609 -0.195611  467.582 0.939258 132.416 0.906713  
107  467.202 0.961173 177.888 -0.163122  466.973 0.94176 196.686 1.49037  467.983 0.954725 132.045 -0.100312  467.972 0.92364 137.462 -0.510244  
108  467.767 0.969275 155.442 0.383791  467.76 0.956263 129.87 -0.0259926  467.706 0.96589 167.187 0.143226  467.638 0.946855 179.759 -0.00565419  
109  467.922 0.971896 140.574 0.0855366  467.661 0.945832 171.953 -0.00739124  467.77 0.966536 164.962 0.0116295  467.759 0.938346 126.046 0.552936  
